name,type,set_name,set_code,set_rarity
"""A"" Cell Breeding Device",Spell Card,Force of the Breaker,FOTB-EN043,Common (C)
"""A"" Cell Incubator",Spell Card,Gladiator's Assault,GLAS-EN062,Common (C)
"""A"" Cell Recombination Device",Spell Card,Invasion: Vengeance,INOV-EN063,Common (C)
"""A"" Cell Scatter Burst",Spell Card,Strike of Neos,STON-EN041,Common (C)
"""Infernoble Arms - Durendal""",Spell Card,Rise of the Duelist,ROTD-EN053,Ultra Rare (UR)
"""Infernoble Arms - Hauteclere""",Spell Card,Rise of the Duelist,ROTD-EN054,Common (C)
"""Infernoble Arms - Joyeuse""",Spell Card,Rise of the Duelist,ROTD-EN055,Super Rare (SR)
1st Movement Solo,Spell Card,2015 Mega-Tin Mega Pack,MP15-EN169,Super Rare (SR)
1st Movement Solo,Spell Card,The New Challengers,NECH-EN059,Super Rare (SR)
1st Movement Solo,Spell Card,The New Challengers: Super Edition,NECH-ENS10,Super Rare (SR)
3-Hump Lacooda,Effect Monster,Ancient Sanctuary,AST-070,Common (C)
3-Hump Lacooda,Effect Monster,Dark Revelation Volume 2,DR2-EN183,Common (C)
"30,000-Year White Turtle",Normal Monster,,,
4-Starred Ladybug of Doom,Flip Effect Monster,Dark Beginning 1,DB1-EN198,Common (C)
4-Starred Ladybug of Doom,Flip Effect Monster,Pharaoh's Servant,PSV-088,Common (C)
4-Starred Ladybug of Doom,Flip Effect Monster,Pharaoh's Servant,PSV-E088,Common (C)
4-Starred Ladybug of Doom,Flip Effect Monster,Pharaoh's Servant,PSV-EN088,Common (C)
4-Starred Ladybug of Doom,Flip Effect Monster,Retro Pack 2,RP02-EN022,Common (C)
4-Starred Ladybug of Doom,Flip Effect Monster,Starter Deck: Yugi Reloaded,YSYR-EN010,Common (C)
7,Spell Card,Ancient Sanctuary,AST-091,Short Print (SP)
7,Spell Card,Dark Revelation Volume 2,DR2-EN204,Common (C)
7 Colored Fish,Normal Monster,Gold Series,GLD1-EN001,Common (C)
7 Colored Fish,Normal Monster,Metal Raiders,MRD-098,Common (C)
7 Colored Fish,Normal Monster,Metal Raiders,MRD-E098,Common (C)
7 Colored Fish,Normal Monster,Metal Raiders,MRD-EN098,Common (C)
7 Colored Fish,Normal Monster,Starter Deck: Joey,SDJ-008,Common (C)
7 Colored Fish,Normal Monster,Structure Deck: Fury from the Deep,SD4-EN002,Common (C)
7 Completed,Spell Card,Battle Pack 3: Monster League,BP03-EN135,Common (C)
7 Completed,Spell Card,Battle Pack 3: Monster League,BP03-EN135,Shatterfoil Rare (SHR)
7 Completed,Spell Card,Duel Terminal 2,DT02-EN038,Duel Terminal Normal Parallel (DNPR)
7 Completed,Spell Card,Duel Terminal 2,DT02-EN038,Duel Terminal Normal Parallel Rare (DNPR)
7 Completed,Spell Card,Pharaoh's Servant,PSV-004,Common (C)
7 Completed,Spell Card,Pharaoh's Servant,PSV-E004,Common (C)
7 Completed,Spell Card,Pharaoh's Servant,PSV-EN004,Common (C)
7 Completed,Spell Card,Speed Duel: Scars of Battle,SBSC-EN029,Common (C)
8-Claws Scorpion,Effect Monster,Gold Series,GLD1-EN007,Common (C)
8-Claws Scorpion,Effect Monster,Pharaonic Guardian,PGD-024,Common (C)
A Cat of Ill Omen,Flip Effect Monster,Dark Revelation Volume 1,DR1-EN018,Common (C)
A Cat of Ill Omen,Flip Effect Monster,Pharaonic Guardian,PGD-070,Common (C)
A Cat of Ill Omen,Flip Effect Monster,Speed Duel Starter Decks: Destiny Masters,SS01-ENB11,Common (C)
A Deal with Dark Ruler,Spell Card,Dark Crisis,DCR-030,Common (C)
A Deal with Dark Ruler,Spell Card,Dark Crisis,DCR-EN030,Common (C)
A Deal with Dark Ruler,Spell Card,Dark Revelation Volume 1,DR1-EN192,Common (C)
A Deal with Dark Ruler,Spell Card,Legendary Collection 4: Joey's World Mega Pack,LCJW-EN241,Rare (R)
A Feather of the Phoenix,Spell Card,Champion Pack: Game Three,CP03-EN018,Common (C)
A Feather of the Phoenix,Spell Card,Dark Revelation Volume 3,DR3-EN157,Super Rare (SR)
A Feather of the Phoenix,Spell Card,Flaming Eternity,FET-EN037,Super Rare (SR)
A Feather of the Phoenix,Spell Card,Flaming Eternity,FET-EN037,Ultimate Rare (UtR)
A Feather of the Phoenix,Spell Card,Legendary Collection 3: Yugi's World Mega Pack,LCYW-EN280,Secret Rare (ScR)
A Feather of the Phoenix,Spell Card,Legendary Hero Decks,LEHD-ENA26,Common (C)
A Feather of the Phoenix,Spell Card,Starter Deck: Syrus Truesdale,YSDS-EN029,Common (C)
A Feint Plan,Trap Card,Legacy of Darkness,LOD-032,Common (C)
A Feint Plan,Trap Card,Legacy of Darkness,LOD-EN032,Common (C)
A Hero Emerges,Trap Card,Battle Pack 2: War of the Giants,BP02-EN179,Common (C)
A Hero Emerges,Trap Card,Battle Pack 2: War of the Giants,BP02-EN179,Mosaic Rare (MSR)
A Hero Emerges,Trap Card,Dark Revelation Volume 2,DR2-EN105,Common (C)
A Hero Emerges,Trap Card,Duel Terminal 2,DT02-EN048,Duel Terminal Normal Parallel (DNPR)
